Model,Accuracy,F1 Score,Precision,Recall,MCC,AUC,LogLoss
Logistic Regression,0.9824561403508771,0.975609756097561,1.0,0.9523809523809523,0.962621902223779,0.9976851851851852,0.09232945880666318
Linear Discriminant Analysis,0.9649122807017544,0.95,1.0,0.9047619047619048,0.9258200997725514,0.9970238095238095,0.09624138994361642
K-Nearest Neighbors,0.9385964912280702,0.9113924050632911,0.972972972972973,0.8571428571428571,0.8687664928166448,0.982473544973545,0.40244778935079956
Support Vector Machine,0.9736842105263158,0.9629629629629629,1.0,0.9285714285714286,0.9441549509633318,0.9927248677248677,0.09308306652941442
Gaussian Naive Bayes,0.9210526315789473,0.8888888888888888,0.9230769230769231,0.8571428571428571,0.8291617197562593,0.9890873015873015,0.49986270079742323
CART,0.956140350877193,0.9367088607594937,1.0,0.8809523809523809,0.907605465436683,0.9396494708994709,1.5869422291767166
Random Forest,0.9649122807017544,0.95,1.0,0.9047619047619048,0.9258200997725514,0.9963624338624338,0.1105272763146483
